sample_id,iceberg_distance_km,iceberg_speed_ms,iceberg_confidence,sea_ice_concentration,wind_speed,visibility_km,wave_height,ocean_current_speed,vessel_draft,vessel_speed,ice_capability_score,submerged_hazard_distance,risk_score,risk_category
SMP-3067,9.5,0.21,95.0,40.1,15.3,12.6,2.9,0.78,8.1,14.6,1.0,15.4,46.6,MODERATE
SMP-3068,25.9,0.74,98.0,85.2,33.1,12.9,1.3,0.83,7.4,15.1,0.8,9.7,46.2,MODERATE
SMP-3069,42.3,0.64,61.0,78.2,5.6,14.1,1.1,0.52,10.0,9.8,0.4,29.1,38.8,MODERATE
SMP-3070,4.4,0.68,60.0,69.3,7.0,2.7,3.4,1.15,7.0,16.9,0.8,28.0,62.2,HIGH
SMP-3071,35.5,0.83,87.0,27.4,29.0,17.1,1.0,1.06,6.7,12.4,0.4,26.1,27.4,LOW
SMP-3072,32.9,0.39,62.0,86.9,18.7,10.9,2.2,0.88,7.5,9.4,0.8,12.8,35.6,MODERATE
SMP-3073,43.7,1.1,94.0,18.9,43.1,9.7,4.6,0.89,6.2,15.6,0.4,20.8,28.1,LOW
SMP-3074,12.6,0.58,78.0,61.4,41.1,19.6,5.8,0.38,9.9,15.9,0.6,27.1,64.0,HIGH
SMP-3075,22.8,0.24,67.0,7.6,33.5,14.9,4.4,0.82,9.3,14.4,0.8,25.5,35.4,MODERATE
SMP-3076,46.3,0.92,91.0,62.9,37.7,2.8,6.0,0.32,8.4,16.5,0.4,12.5,44.9,MODERATE
SMP-3077,33.2,0.81,74.0,29.9,31.7,15.3,4.3,0.26,7.7,15.4,0.8,3.5,27.9,LOW
SMP-3078,19.7,0.45,95.0,45.5,10.0,2.4,2.1,1.2,11.4,16.8,1.0,2.5,39.6,MODERATE
SMP-3079,7.0,0.78,95.0,36.1,35.6,1.0,4.2,0.78,5.2,12.3,0.6,17.4,57.3,HIGH
SMP-3080,13.5,0.34,58.0,20.5,13.4,8.4,4.4,0.57,10.4,15.5,0.4,19.4,48.2,MODERATE
SMP-3081,29.3,0.59,50.0,61.0,17.9,19.9,2.5,0.42,11.3,18.0,1.0,25.5,32.0,LOW
SMP-3082,36.0,1.09,98.0,84.4,37.8,3.9,0.6,0.76,8.1,15.2,0.8,8.9,40.2,MODERATE
SMP-3083,6.7,0.25,94.0,91.3,26.5,13.6,4.4,0.15,8.9,9.1,1.0,5.2,63.6,HIGH
SMP-3084,30.2,0.53,53.0,22.3,39.4,3.9,0.6,0.2,11.6,13.2,0.8,11.5,30.6,LOW
SMP-3085,27.7,1.0,91.0,69.6,13.5,14.6,4.0,0.14,6.5,13.9,0.6,10.7,46.1,MODERATE
SMP-3086,25.9,1.17,72.0,64.8,29.3,10.4,1.4,0.65,8.6,9.7,1.0,4.1,40.1,MODERATE
SMP-3087,34.7,0.6,63.0,35.9,8.4,13.8,3.6,0.76,8.3,17.6,0.6,20.2,22.6,LOW
SMP-3088,42.0,0.66,93.0,6.7,30.7,4.5,3.3,0.17,6.8,9.8,0.4,15.4,26.6,LOW
SMP-3089,16.5,0.73,60.0,67.1,35.5,15.0,0.6,0.89,10.7,9.8,0.8,21.7,47.8,MODERATE
SMP-3090,44.5,1.13,96.0,90.1,28.4,19.9,2.5,0.35,11.3,17.2,0.8,10.7,29.8,LOW
SMP-3091,8.5,1.04,60.0,61.9,15.6,13.5,3.8,0.85,10.5,12.7,0.6,9.9,61.1,HIGH
SMP-3092,9.1,0.29,80.0,44.2,6.3,10.1,5.2,1.18,6.4,8.6,0.6,14.3,57.3,HIGH
SMP-3093,13.7,0.58,61.0,52.3,9.8,18.5,5.4,0.86,5.6,14.0,0.4,26.3,53.3,MODERATE
SMP-3094,6.4,0.61,77.0,23.0,29.9,0.8,3.2,1.07,9.2,14.0,1.0,1.4,52.7,MODERATE
SMP-3095,11.9,0.97,84.0,72.5,42.4,14.7,4.5,1.14,5.4,8.6,0.8,24.2,56.5,HIGH
SMP-3096,5.8,0.76,59.0,72.2,13.3,17.8,2.2,0.64,9.7,17.7,0.8,11.2,60.1,HIGH
SMP-3097,41.2,0.82,76.0,18.1,34.4,1.7,2.4,0.87,8.7,13.4,0.4,25.7,29.3,LOW
SMP-3098,7.4,1.2,73.0,84.0,39.7,9.3,1.6,1.04,9.6,13.6,0.4,24.1,71.3,HIGH
SMP-3099,37.5,0.18,53.0,29.2,25.8,4.5,3.6,0.49,9.1,13.2,0.6,10.6,32.0,LOW
SMP-3100,2.9,0.35,90.0,93.4,31.8,11.5,2.2,0.39,8.0,14.1,0.6,20.9,72.1,HIGH
SMP-3101,47.5,0.55,66.0,39.5,37.6,13.2,1.0,1.14,6.4,10.6,1.0,5.0,23.8,LOW
SMP-3102,35.7,0.48,78.0,21.0,15.4,6.4,4.3,0.9,7.1,10.9,0.4,26.9,24.8,LOW
SMP-3103,0.8,0.12,75.0,36.7,16.9,9.5,4.4,0.34,8.7,13.1,1.0,12.3,62.3,HIGH
SMP-3104,38.3,0.2,75.0,44.6,5.0,5.9,2.5,0.59,9.6,16.1,0.4,13.8,28.1,LOW
SMP-3105,25.9,0.85,55.0,11.2,43.5,7.7,0.9,0.98,10.5,8.5,0.8,21.2,28.1,LOW
SMP-3106,39.1,1.07,71.0,57.0,41.7,3.6,2.8,0.7,10.4,14.0,0.4,24.7,42.5,MODERATE
SMP-3107,26.4,0.67,72.0,58.8,35.6,17.8,2.9,0.81,11.8,16.1,0.4,7.2,43.3,MODERATE
SMP-3108,32.2,0.69,86.0,71.5,8.2,0.7,4.2,0.93,7.0,9.6,0.8,19.9,31.2,LOW
SMP-3109,39.4,0.38,91.0,7.6,22.9,17.7,2.2,0.78,5.5,8.2,0.4,11.9,10.9,LOW
SMP-3110,20.6,0.94,77.0,53.7,9.1,11.6,4.3,0.69,7.4,11.1,1.0,11.2,38.5,MODERATE
SMP-3111,0.6,0.93,54.0,9.8,5.6,7.0,5.3,0.92,10.2,13.9,0.6,20.8,57.4,HIGH
SMP-3112,42.6,0.75,62.0,68.1,29.6,14.6,1.8,0.9,8.1,9.4,0.6,11.7,34.1,LOW
SMP-3113,19.4,0.33,58.0,10.0,43.4,10.4,5.9,0.79,10.7,12.3,1.0,10.5,37.4,MODERATE
SMP-3114,25.1,0.21,56.0,87.1,41.1,10.2,2.6,0.5,8.8,13.5,0.8,25.1,50.5,MODERATE
SMP-3115,0.9,0.17,68.0,68.2,32.9,2.6,2.0,0.55,11.5,14.0,0.4,3.2,78.3,CRITICAL
SMP-3116,24.9,0.75,61.0,50.7,8.9,8.1,2.8,1.17,11.6,10.7,1.0,20.3,36.8,MODERATE
SMP-3117,49.3,1.01,61.0,44.7,16.0,5.2,1.0,0.22,5.5,12.0,0.6,7.6,26.6,LOW
SMP-3118,14.3,1.04,53.0,16.8,17.8,0.8,1.2,0.4,8.2,15.8,0.6,0.7,42.7,MODERATE
SMP-3119,20.1,0.61,51.0,31.2,35.5,7.5,2.8,0.64,9.3,17.4,1.0,5.2,39.7,MODERATE
SMP-3120,34.5,0.96,55.0,83.2,37.1,2.3,4.7,1.02,6.8,16.6,0.6,18.3,44.2,MODERATE
SMP-3121,40.8,1.14,58.0,86.4,20.4,5.5,5.5,0.28,7.8,13.6,1.0,21.3,34.4,LOW
SMP-3122,21.2,0.4,71.0,5.1,21.7,2.3,4.2,0.4,9.7,12.1,0.6,0.8,40.8,MODERATE
SMP-3123,15.8,0.54,75.0,58.5,6.8,2.5,1.1,0.17,6.6,11.3,1.0,1.3,41.8,MODERATE
SMP-3124,46.9,1.12,57.0,69.7,16.6,4.4,4.2,0.88,9.2,9.2,0.4,27.1,44.3,MODERATE
SMP-3125,34.0,0.47,71.0,60.7,23.1,20.0,4.0,0.36,9.9,9.1,0.4,2.4,38.1,MODERATE
SMP-3126,6.4,1.11,67.0,12.4,9.7,0.5,4.9,0.53,5.6,14.9,0.4,26.8,52.3,MODERATE
SMP-3127,3.9,1.18,59.0,24.6,23.1,13.0,5.0,0.59,8.5,10.6,0.4,7.0,55.2,HIGH
SMP-3128,24.4,0.83,50.0,27.5,39.1,3.3,5.3,1.08,6.8,10.5,0.6,22.3,45.4,MODERATE
SMP-3129,11.4,1.0,73.0,79.9,28.3,18.5,2.8,0.55,10.1,18.0,0.8,9.4,57.2,HIGH
SMP-3130,13.1,0.92,84.0,46.7,8.2,2.3,4.3,0.26,6.3,9.9,1.0,25.8,49.2,MODERATE
SMP-3131,43.9,0.87,61.0,48.8,12.7,19.1,2.0,0.68,11.2,9.5,0.8,21.1,23.8,LOW
SMP-3132,4.9,0.44,56.0,89.1,24.0,12.4,6.0,1.16,8.0,9.0,0.6,12.2,72.5,HIGH
SMP-3133,35.9,0.16,93.0,62.3,19.5,0.5,1.5,0.77,6.4,13.8,0.6,2.5,33.5,LOW
SMP-3134,13.9,0.48,63.0,85.9,19.3,17.9,0.6,1.18,8.1,14.3,0.8,22.0,52.3,MODERATE
SMP-3135,38.1,0.83,61.0,46.1,26.2,10.7,1.3,1.03,7.9,11.7,0.8,18.6,24.6,LOW
SMP-3136,36.3,0.21,92.0,18.4,28.4,5.6,4.8,0.14,8.0,13.4,0.6,0.3,26.8,LOW
SMP-3137,0.9,0.11,90.0,88.7,36.9,15.5,3.0,0.82,9.1,15.9,0.6,0.5,76.7,CRITICAL
SMP-3138,25.7,0.25,72.0,46.3,18.6,18.6,3.0,0.42,8.6,16.2,1.0,24.3,31.5,LOW
SMP-3139,7.4,0.89,74.0,21.3,37.2,9.9,5.8,0.72,6.0,17.6,0.4,7.9,56.4,HIGH
SMP-3140,43.4,1.17,61.0,32.2,18.5,6.7,5.6,0.41,5.5,16.2,0.4,19.2,30.3,LOW
SMP-3141,43.6,1.18,54.0,9.6,7.2,15.9,2.2,0.48,10.1,13.6,1.0,13.7,9.6,LOW
SMP-3142,21.2,0.64,78.0,47.1,27.2,13.8,1.6,1.12,8.9,9.8,0.8,25.9,44.9,MODERATE
SMP-3143,22.5,1.06,55.0,81.8,28.5,17.8,5.2,0.33,7.5,9.0,0.6,27.5,54.9,MODERATE
SMP-3144,15.5,0.91,72.0,89.0,42.4,14.0,5.5,1.06,10.7,8.5,0.8,29.9,65.2,HIGH
SMP-3145,36.0,0.65,96.0,88.9,34.0,5.2,3.5,0.13,7.7,14.7,0.4,4.8,41.5,MODERATE
SMP-3146,18.3,0.73,97.0,16.3,41.7,18.7,4.0,0.2,10.6,16.1,0.4,25.9,47.5,MODERATE
SMP-3147,13.8,0.25,62.0,39.4,41.3,2.5,1.9,1.04,7.1,13.1,0.8,8.1,49.0,MODERATE
SMP-3148,21.9,1.13,81.0,7.5,29.2,5.7,4.9,0.79,5.5,8.5,0.4,17.8,34.4,LOW
SMP-3149,5.0,0.49,73.0,82.0,26.1,10.6,4.0,0.92,11.5,13.4,0.6,15.3,72.5,HIGH
