record_id,iceberg_id,latitude,longitude,previous_latitude,previous_longitude,wind_speed,wind_direction,ocean_current_speed,ocean_current_direction,sea_ice_concentration,wave_height,temperature,iceberg_size,iceberg_mass_proxy,previous_drift_speed,previous_heading,drift_speed,drift_heading
REC-2016,IB-020,-64.1716,-55.8951,-64.2144,-55.8935,26.9,163.3,0.67,5.5,45.9,4.7,-5.7,3.88,480.7,0.55,271.6,0.54,79.3
REC-2017,IB-074,-64.3907,-55.4147,-64.4202,-55.386,25.8,163.8,0.75,209.3,75.2,0.5,-12.7,4.3,587.3,0.35,160.4,0.42,191.7
REC-2018,IB-028,-61.4022,-54.8889,-61.4141,-54.8446,19.0,246.9,0.93,38.1,94.8,0.5,0.2,4.0,491.3,0.36,213.2,0.33,107.1
REC-2019,IB-018,-62.1595,-57.644,-62.1113,-57.6193,32.1,327.7,0.79,314.3,22.2,2.6,-13.7,1.36,137.0,0.2,252.3,0.75,312.1
REC-2020,IB-036,-61.2505,-60.3643,-61.222,-60.3422,35.3,230.1,0.76,188.3,46.4,1.3,0.4,1.03,100.8,0.38,69.9,0.64,180.0
REC-2021,IB-043,-62.5868,-59.9575,-62.5635,-59.9249,5.6,343.3,0.16,251.9,43.8,0.6,1.9,2.24,230.5,0.71,161.0,0.22,248.3
REC-2022,IB-053,-63.1064,-59.6344,-63.1448,-59.6398,13.3,317.4,0.51,147.9,32.4,3.1,-3.1,0.23,21.1,0.3,298.7,0.4,228.4
REC-2023,IB-077,-64.7611,-57.2496,-64.733,-57.219,33.5,210.4,0.36,201.8,22.8,5.7,-1.9,0.31,28.7,0.6,235.7,0.64,208.0
REC-2024,IB-091,-62.3134,-61.7375,-62.2849,-61.7867,20.5,300.2,0.39,339.4,10.9,2.3,-9.3,2.58,349.2,0.56,148.0,0.45,280.4
REC-2025,IB-024,-62.6712,-56.9117,-62.6611,-56.8692,31.5,231.3,0.71,29.8,84.8,4.1,1.0,2.44,260.9,0.71,238.8,0.41,105.7
REC-2026,IB-060,-61.0392,-59.0852,-60.9902,-59.0909,18.9,28.3,0.32,91.4,42.8,4.1,-6.0,4.48,495.1,0.24,42.6,0.29,60.7
REC-2027,IB-022,-64.0434,-59.6381,-64.0609,-59.6328,20.6,266.6,0.42,280.8,49.7,1.9,-2.5,1.07,130.1,0.79,144.5,0.45,253.7
REC-2028,IB-092,-62.8771,-54.964,-62.833,-54.9885,11.3,34.2,0.36,35.5,87.5,4.1,0.7,1.31,158.9,0.53,285.5,0.29,75.4
REC-2029,IB-058,-62.3962,-58.32,-62.3547,-58.2957,15.3,213.9,1.14,27.2,74.9,1.7,1.6,0.69,58.5,0.8,79.4,0.57,70.7
REC-2030,IB-079,-62.4216,-61.2396,-62.4705,-61.2819,29.2,253.0,1.14,130.2,16.7,1.2,-0.8,4.15,573.6,0.74,66.9,0.8,144.6
REC-2031,IB-065,-62.7548,-55.386,-62.7598,-55.3487,22.3,23.9,0.77,33.2,55.9,4.4,-9.8,3.54,327.1,0.29,342.3,0.46,94.3
REC-2032,IB-085,-61.8923,-61.6189,-61.8446,-61.5861,36.0,83.1,1.12,210.6,44.8,1.1,1.4,3.74,488.5,0.19,75.6,0.67,158.0
REC-2033,IB-060,-64.1801,-56.186,-64.2198,-56.2144,39.1,329.6,0.96,81.5,76.7,6.0,-4.3,4.08,547.1,0.32,93.9,0.5,134.6
REC-2034,IB-046,-62.0975,-55.8088,-62.0927,-55.7779,26.7,221.9,0.75,322.5,70.2,1.5,0.8,2.46,319.9,0.49,349.1,0.45,304.7
REC-2035,IB-026,-62.5211,-59.1792,-62.4732,-59.1506,35.3,88.7,0.11,282.1,67.1,3.8,-3.5,2.14,257.9,0.26,264.5,0.43,227.1
REC-2036,IB-067,-61.4157,-55.4017,-61.4102,-55.3885,17.3,248.6,0.95,251.9,35.6,2.8,-9.8,1.62,131.3,0.26,251.9,0.58,248.1
REC-2037,IB-096,-61.6112,-57.8747,-61.6422,-57.8873,21.6,214.8,0.87,222.1,77.4,1.2,-8.7,2.73,287.3,0.45,307.1,0.46,241.4
REC-2038,IB-038,-63.7394,-58.2937,-63.7312,-58.3166,33.5,180.6,0.78,310.8,9.7,0.7,-5.6,2.15,263.0,0.17,41.7,0.68,229.8
REC-2039,IB-042,-63.8951,-61.6368,-63.9247,-61.6636,20.4,351.4,0.94,80.3,19.4,3.9,-1.6,2.14,229.2,0.23,254.1,0.61,172.4
REC-2040,IB-069,-61.0734,-59.6798,-61.0714,-59.6979,28.5,246.0,0.66,314.3,35.2,4.9,-9.6,4.23,594.1,0.42,181.3,0.58,269.3
REC-2041,IB-098,-62.8909,-54.5519,-62.9335,-54.5115,12.4,135.2,0.87,284.2,11.9,5.1,-5.1,4.43,450.2,0.19,298.5,0.52,265.2
REC-2042,IB-064,-61.3743,-58.8654,-61.3638,-58.9076,29.0,288.0,1.13,269.3,26.1,3.2,-9.1,3.62,364.0,0.41,182.9,0.74,235.3
REC-2043,IB-019,-64.3445,-57.6264,-64.3428,-57.5935,39.5,318.4,0.51,202.1,79.7,4.8,-1.1,3.45,340.2,0.46,223.3,0.41,230.7
REC-2044,IB-056,-62.4287,-57.7438,-62.4047,-57.7589,39.7,45.1,0.88,88.6,90.3,4.2,-7.1,3.13,323.3,0.44,172.0,0.47,107.4
REC-2045,IB-032,-61.7606,-57.2766,-61.7475,-57.2744,34.0,72.2,0.62,152.5,32.4,4.5,-13.7,0.91,108.3,0.71,172.1,0.7,152.3
REC-2046,IB-094,-61.2104,-61.5094,-61.2054,-61.48,34.8,77.8,0.84,285.7,28.8,3.2,-12.2,0.45,58.3,0.49,276.5,0.77,240.4
REC-2047,IB-030,-63.6506,-59.1026,-63.6316,-59.0642,27.3,248.8,0.94,11.4,30.2,4.0,-14.0,3.17,400.6,0.45,226.3,0.68,91.3
REC-2048,IB-022,-62.1001,-56.215,-62.1357,-56.2305,28.4,217.1,0.15,281.5,30.0,4.9,-6.5,3.33,454.7,0.42,228.0,0.39,268.9
REC-2049,IB-042,-62.8447,-60.3955,-62.8352,-60.3993,10.3,222.8,0.81,86.4,8.2,2.7,-13.2,0.4,56.8,0.68,162.1,0.68,128.4
REC-2050,IB-033,-64.7575,-60.3714,-64.7903,-60.3799,22.8,338.7,0.35,52.0,88.4,4.9,-13.1,4.19,574.6,0.73,191.2,0.27,135.9
REC-2051,IB-020,-62.24,-61.9193,-62.1974,-61.968,23.0,279.3,0.84,41.7,24.2,3.8,1.0,0.59,48.0,0.7,268.5,0.75,127.4
REC-2052,IB-026,-62.2396,-58.5001,-62.2828,-58.5205,43.3,46.1,0.62,9.8,42.8,1.4,-0.2,1.43,188.1,0.59,297.3,0.7,64.6
REC-2053,IB-077,-61.2776,-54.9381,-61.2846,-54.9422,22.2,125.1,0.95,188.5,5.9,0.6,-7.3,3.09,292.3,0.24,250.8,0.64,192.8
REC-2054,IB-056,-63.0108,-61.5848,-62.9912,-61.5937,27.0,156.7,0.24,78.6,82.2,2.5,1.8,0.93,83.1,0.33,332.7,0.35,150.4
REC-2055,IB-034,-64.079,-60.4711,-64.0832,-60.4489,26.3,142.5,0.79,356.2,70.8,3.5,-15.0,0.44,54.9,0.18,295.3,0.48,302.9
REC-2056,IB-082,-64.8217,-59.5193,-64.8625,-59.5308,30.5,241.0,0.41,206.8,90.2,5.1,-4.6,1.62,165.9,0.76,202.3,0.4,206.6
REC-2057,IB-030,-63.3374,-56.1462,-63.3321,-56.1473,34.9,321.1,1.04,49.6,75.3,1.2,-4.5,3.49,293.2,0.58,241.7,0.58,133.8
REC-2058,IB-093,-63.7923,-56.8749,-63.7781,-56.8819,14.0,110.2,1.12,248.0,33.2,4.9,-7.2,1.98,177.5,0.64,333.5,0.67,226.1
REC-2059,IB-092,-61.9556,-58.6724,-61.9352,-58.6483,26.1,198.7,1.2,323.2,27.3,5.2,-8.3,3.01,241.0,0.35,222.9,0.74,273.8
REC-2060,IB-092,-63.5829,-55.9274,-63.5956,-55.8911,38.0,284.2,0.98,268.3,67.8,1.3,-7.3,2.69,385.3,0.7,296.9,0.61,269.2
REC-2061,IB-021,-61.2037,-57.123,-61.1973,-57.1198,23.5,149.8,0.93,27.5,37.8,5.2,-7.9,0.3,24.5,0.32,248.0,0.63,82.4
REC-2062,IB-046,-61.1508,-54.8317,-61.1557,-54.8028,16.1,60.5,0.34,322.5,56.0,6.0,-2.6,4.45,421.2,0.15,198.7,0.2,250.6
REC-2063,IB-051,-62.5164,-55.4558,-62.4992,-55.4761,31.2,171.0,0.47,285.8,5.6,4.5,-12.7,0.38,41.5,0.39,87.1,0.69,212.5
REC-2064,IB-026,-61.2854,-59.9775,-61.277,-59.9734,38.0,19.9,0.61,57.0,10.6,4.8,-11.6,4.36,457.6,0.52,153.4,0.68,76.7
REC-2065,IB-057,-61.9566,-59.8285,-61.954,-59.844,7.5,339.3,0.95,18.6,53.2,6.0,-11.9,2.56,368.2,0.46,348.4,0.41,151.9
REC-2066,IB-037,-62.8126,-60.9971,-62.8376,-61.0057,36.1,26.9,1.11,200.6,55.9,3.8,-10.5,4.34,359.4,0.71,236.8,0.69,175.5
REC-2067,IB-050,-64.2788,-59.3043,-64.3286,-59.2811,37.9,157.8,0.31,56.2,72.6,2.2,-6.1,0.69,79.9,0.22,203.2,0.43,119.2
REC-2068,IB-056,-63.1656,-54.0036,-63.1982,-53.9654,23.5,190.8,1.11,300.5,16.9,5.1,-13.1,2.31,294.8,0.51,335.9,0.76,275.4
REC-2069,IB-027,-62.7565,-58.754,-62.7948,-58.7919,44.3,354.7,0.87,129.0,51.2,3.9,-0.2,0.93,135.1,0.48,211.1,0.77,197.6
REC-2070,IB-087,-61.5442,-60.2361,-61.5493,-60.2226,36.5,59.8,0.77,328.6,22.5,3.7,-9.9,0.42,51.8,0.33,189.4,0.8,244.6
REC-2071,IB-080,-63.0747,-55.9001,-63.0635,-55.8919,35.9,41.2,0.32,203.6,13.4,1.9,-12.2,2.86,389.7,0.68,273.4,0.58,205.6
REC-2072,IB-022,-61.4093,-57.6602,-61.438,-57.6984,34.9,3.1,0.16,65.8,41.9,4.7,-3.5,1.09,93.6,0.64,256.6,0.51,88.4
REC-2073,IB-091,-62.3026,-60.8032,-62.2587,-60.832,11.0,56.0,0.73,50.3,19.7,0.9,-14.4,2.73,292.2,0.63,69.5,0.52,50.9
REC-2074,IB-022,-64.452,-58.9545,-64.5013,-58.9734,13.7,74.6,0.82,207.5,25.0,5.6,-4.5,0.68,72.2,0.72,169.7,0.61,176.8
REC-2075,IB-040,-61.0201,-58.6842,-60.9929,-58.7175,23.6,227.0,0.33,274.3,33.6,2.3,-3.1,1.63,231.5,0.62,170.1,0.47,242.3
REC-2076,IB-011,-62.8911,-55.9694,-62.8786,-55.995,15.6,79.1,0.71,281.3,28.3,1.2,-11.3,3.56,322.5,0.3,136.2,0.45,205.8
REC-2077,IB-025,-63.4326,-61.8346,-63.4452,-61.8578,21.6,7.4,1.04,99.3,12.9,2.9,-14.3,2.08,188.5,0.61,186.2,0.76,90.5
REC-2078,IB-018,-62.3635,-59.8478,-62.4085,-59.8642,40.5,297.6,1.02,73.5,13.1,0.7,-8.8,2.9,298.7,0.35,148.7,0.85,145.0
REC-2079,IB-082,-64.5644,-57.8592,-64.5517,-57.8343,38.0,131.6,1.12,6.0,22.4,4.3,-13.3,2.98,249.8,0.31,71.8,0.8,35.0
REC-2080,IB-047,-62.4538,-59.8492,-62.4652,-59.842,30.2,127.3,0.5,244.5,9.6,5.5,-13.0,3.83,355.3,0.2,148.5,0.5,203.6
REC-2081,IB-084,-63.0071,-56.9725,-62.9635,-56.9239,39.3,108.9,0.45,27.6,61.4,5.1,-10.7,1.6,236.1,0.63,26.0,0.54,52.0
REC-2082,IB-063,-63.3733,-58.1451,-63.3691,-58.1536,36.4,351.1,0.92,151.5,30.9,1.2,-10.0,3.16,347.5,0.61,207.3,0.73,211.4
REC-2083,IB-065,-61.1879,-59.1063,-61.1439,-59.0809,22.2,61.2,0.57,216.6,30.2,1.2,-6.0,4.33,538.0,0.3,307.3,0.38,198.8
REC-2084,IB-095,-62.9098,-54.4063,-62.9378,-54.3692,13.0,323.4,0.2,337.4,34.9,5.0,-3.5,3.34,437.0,0.64,261.1,0.27,317.7
REC-2085,IB-096,-64.1235,-56.9427,-64.1009,-56.9248,25.6,279.6,0.41,112.2,64.7,5.6,-4.9,2.31,244.1,0.75,129.7,0.41,146.0
REC-2086,IB-054,-63.1641,-60.9605,-63.1524,-60.9693,34.4,27.5,0.56,89.9,83.4,3.0,-12.5,2.91,262.8,0.22,31.3,0.4,53.4
REC-2087,IB-043,-61.3225,-57.5193,-61.2986,-57.4939,22.5,355.2,0.42,235.5,73.3,3.2,-12.1,3.38,319.3,0.3,72.8,0.31,231.2
REC-2088,IB-018,-64.2956,-55.7541,-64.3241,-55.7837,31.7,97.7,0.47,222.9,70.5,2.3,-0.1,2.83,288.5,0.64,196.4,0.46,192.9
REC-2089,IB-097,-64.1442,-56.3321,-64.1277,-56.3493,8.8,35.5,0.42,119.6,48.6,5.4,-5.5,0.27,33.6,0.33,74.5,0.28,105.3
REC-2090,IB-017,-64.9479,-60.6233,-64.9481,-60.6186,34.9,298.6,0.15,334.1,67.4,4.0,-0.2,1.04,112.2,0.56,195.8,0.4,292.8
REC-2091,IB-016,-64.9432,-54.2206,-64.9189,-54.2131,37.5,254.4,0.8,304.2,54.7,2.1,-8.7,3.69,297.0,0.2,83.4,0.46,258.8
REC-2092,IB-045,-61.6824,-58.4095,-61.6997,-58.4573,33.3,222.2,0.76,80.6,24.5,2.1,-4.6,1.37,159.8,0.44,305.6,0.74,163.2
REC-2093,IB-027,-62.0715,-60.7278,-62.0325,-60.6833,43.7,56.2,0.82,86.1,23.8,5.4,-6.1,3.35,484.1,0.63,143.0,0.82,91.9
REC-2094,IB-012,-63.5798,-60.5584,-63.6214,-60.5387,38.1,172.3,0.31,184.4,31.7,0.6,-9.6,1.8,246.3,0.6,88.4,0.57,145.4
REC-2095,IB-037,-62.2068,-61.2141,-62.1761,-61.2145,41.1,281.0,0.43,278.5,87.0,2.3,-7.0,2.44,336.1,0.68,292.4,0.44,277.7
REC-2096,IB-079,-63.4192,-55.5719,-63.3831,-55.5286,42.3,109.3,0.78,15.9,54.3,3.5,-6.5,0.49,66.5,0.72,123.4,0.72,70.4
REC-2097,IB-053,-61.1884,-61.0238,-61.1567,-61.0299,37.1,112.2,0.76,249.6,71.1,1.3,-11.6,0.98,100.6,0.65,40.1,0.58,182.6
REC-2098,IB-030,-61.1318,-60.999,-61.1305,-60.951,32.0,1.1,0.66,233.4,36.2,1.0,-9.6,4.32,577.0,0.59,205.3,0.59,186.9
REC-2099,IB-037,-63.4288,-55.1962,-63.435,-55.195,5.2,62.7,0.49,83.3,41.7,5.0,-1.5,4.03,362.8,0.17,209.4,0.24,103.7
REC-2100,IB-063,-61.5831,-59.2432,-61.5335,-59.2818,23.6,315.1,1.1,245.3,16.3,5.4,0.6,3.0,378.1,0.5,257.3,0.74,259.9
REC-2101,IB-063,-61.9076,-61.7531,-61.9347,-61.7266,27.8,159.0,0.47,338.5,20.4,5.0,-8.9,2.18,272.3,0.17,86.5,0.51,237.3
REC-2102,IB-074,-63.76,-61.5848,-63.7553,-61.5669,17.2,354.3,0.6,16.8,79.5,5.4,-9.8,3.11,254.4,0.68,159.8,0.35,119.3
REC-2103,IB-030,-64.0718,-60.8626,-64.0547,-60.8353,17.7,142.5,0.85,115.1,57.6,3.5,-11.7,2.86,386.6,0.36,101.7,0.43,126.5
REC-2104,IB-022,-63.1671,-60.2929,-63.147,-60.2478,43.4,257.5,0.7,157.7,35.4,5.0,-3.5,2.64,378.1,0.52,29.1,0.71,144.3
REC-2105,IB-066,-61.8746,-56.6788,-61.9042,-56.6512,40.7,101.5,0.48,323.7,77.3,2.6,-9.5,0.45,44.4,0.33,315.6,0.47,276.2
REC-2106,IB-058,-61.1593,-60.7414,-61.1439,-60.7303,39.0,131.0,0.58,346.4,27.2,4.2,1.8,2.92,399.7,0.66,262.4,0.65,284.0
REC-2107,IB-063,-61.9457,-61.049,-61.9139,-61.0133,21.2,68.7,0.97,159.9,92.8,5.9,-9.5,3.51,301.0,0.73,108.5,0.45,134.7
REC-2108,IB-019,-61.5792,-55.8822,-61.6242,-55.8649,5.5,124.9,0.41,270.0,36.0,1.7,-8.3,4.47,545.3,0.41,215.8,0.23,225.8
REC-2109,IB-062,-62.5877,-56.6316,-62.5465,-56.6408,8.2,197.0,0.26,191.4,35.4,2.6,-4.7,0.25,28.5,0.71,72.5,0.3,176.2
REC-2110,IB-053,-61.6584,-58.5174,-61.7054,-58.4788,17.5,357.0,0.44,193.6,33.1,3.1,-1.4,3.34,394.8,0.32,320.5,0.31,252.2
REC-2111,IB-056,-61.8623,-57.6055,-61.8767,-57.6333,5.6,239.1,1.03,100.1,16.0,1.3,-7.0,2.66,385.3,0.5,41.4,0.49,95.8
REC-2112,IB-062,-63.4921,-59.5041,-63.5405,-59.4826,5.7,71.7,0.2,78.1,15.0,0.9,-7.8,2.07,291.9,0.71,1.4,0.31,65.0
REC-2113,IB-083,-62.792,-58.14,-62.8343,-58.1018,41.7,16.2,1.19,103.7,63.3,5.1,1.9,0.75,101.2,0.36,180.7,0.8,109.6
REC-2114,IB-055,-61.781,-57.9466,-61.7399,-57.9235,33.2,45.5,0.7,200.3,83.8,5.9,-14.8,1.96,194.4,0.77,209.9,0.53,162.0
REC-2115,IB-022,-64.8158,-58.9021,-64.8303,-58.8824,17.4,202.5,1.18,10.5,76.1,2.7,0.2,1.72,247.4,0.23,208.4,0.48,91.7
REC-2116,IB-046,-61.7677,-54.7474,-61.7752,-54.7221,10.3,275.5,1.13,326.6,17.7,1.0,-12.5,1.5,130.2,0.16,19.6,0.6,269.6
REC-2117,IB-033,-64.2884,-61.8715,-64.3169,-61.875,25.5,338.6,0.6,56.3,54.1,0.9,-1.6,3.34,466.7,0.74,113.1,0.47,125.0
REC-2118,IB-011,-62.9413,-55.7426,-62.9316,-55.7052,5.2,5.7,0.32,79.2,14.5,5.4,-4.5,3.21,330.5,0.19,179.7,0.2,93.7
REC-2119,IB-095,-61.7669,-61.0049,-61.7574,-61.0346,42.5,188.2,0.28,186.6,9.1,3.1,-9.2,2.73,228.7,0.79,78.0,0.73,161.7
REC-2120,IB-090,-63.9847,-55.6196,-63.9975,-55.6569,21.6,169.5,0.36,255.6,64.1,2.3,-0.1,4.24,537.9,0.77,314.1,0.34,249.9
REC-2121,IB-023,-64.0168,-57.0727,-64.0335,-57.0941,21.1,236.2,0.88,34.5,53.2,3.1,-14.8,1.7,163.5,0.24,31.4,0.52,72.6
REC-2122,IB-019,-63.3889,-55.2538,-63.3504,-55.2506,20.6,201.4,0.4,114.4,12.4,2.3,-11.1,1.25,121.3,0.5,175.5,0.49,140.9
REC-2123,IB-044,-61.4214,-61.2199,-61.4331,-61.2188,7.8,247.3,0.48,348.7,8.1,3.2,-5.4,3.02,306.3,0.27,248.9,0.37,307.3
REC-2124,IB-034,-64.9982,-57.5282,-64.9988,-57.4961,30.5,236.9,0.59,94.4,94.1,5.2,-9.0,1.05,88.7,0.43,94.2,0.33,109.8
REC-2125,IB-012,-61.3945,-57.9913,-61.4162,-58.0008,34.3,42.1,1.1,112.7,7.7,3.8,-4.6,1.55,143.2,0.19,224.7,0.86,118.3
REC-2126,IB-026,-64.3848,-56.3505,-64.3561,-56.3521,32.0,287.9,0.31,301.1,45.0,4.3,-14.6,1.17,94.0,0.3,298.6,0.46,308.7
REC-2127,IB-021,-61.0397,-57.7257,-61.05,-57.7744,10.5,44.4,0.11,18.1,50.4,2.5,-13.0,0.5,55.6,0.39,68.5,0.26,25.7
REC-2128,IB-063,-61.1806,-57.6741,-61.1792,-57.6831,28.2,251.5,0.17,167.3,15.6,4.6,-12.8,3.76,323.0,0.44,330.2,0.39,208.2
REC-2129,IB-033,-63.0213,-58.5632,-63.046,-58.5484,27.8,149.8,1.1,136.7,20.2,4.2,-11.8,1.29,164.8,0.79,199.3,0.88,152.3
REC-2130,IB-038,-62.9491,-59.5293,-62.9003,-59.5777,39.7,185.0,0.81,114.0,36.7,1.2,-7.2,2.23,215.2,0.68,107.7,0.79,127.8
REC-2131,IB-052,-63.0738,-58.1419,-63.0947,-58.1638,20.2,325.2,0.4,102.9,73.6,3.6,-2.2,0.39,57.0,0.63,155.1,0.38,160.8
REC-2132,IB-034,-62.4582,-61.0521,-62.4311,-61.0813,19.9,320.4,0.29,32.9,50.6,1.9,0.4,3.21,452.6,0.5,112.4,0.36,105.4
REC-2133,IB-069,-64.6371,-54.3079,-64.6444,-54.3537,29.7,294.4,0.42,113.3,62.4,4.9,-0.8,1.62,162.4,0.7,261.0,0.43,179.6
REC-2134,IB-074,-64.8695,-56.2847,-64.8989,-56.2868,30.3,183.7,0.23,15.5,93.7,2.8,-11.7,3.4,458.4,0.37,286.7,0.29,100.6
REC-2135,IB-093,-64.7692,-54.3803,-64.7392,-54.4121,23.8,265.0,1.14,281.1,74.1,6.0,-7.5,1.97,268.4,0.61,299.9,0.53,271.4
REC-2136,IB-037,-63.2225,-60.1862,-63.2391,-60.1619,22.7,184.6,0.96,143.4,44.1,1.0,-11.6,1.04,155.0,0.8,354.9,0.7,193.4
REC-2137,IB-025,-63.8978,-54.9653,-63.8613,-54.9305,24.8,313.1,0.61,159.8,45.2,4.8,-10.5,2.41,293.7,0.35,284.9,0.48,221.3
REC-2138,IB-056,-62.5118,-55.5297,-62.4703,-55.5251,39.4,145.0,1.05,321.7,60.7,4.2,-6.4,0.76,65.2,0.59,216.5,0.77,269.4
REC-2139,IB-090,-61.0302,-56.5828,-60.9942,-56.5346,23.4,349.3,0.37,236.9,64.9,4.7,-13.8,2.09,261.8,0.7,122.1,0.42,222.5
REC-2140,IB-067,-63.4547,-56.9998,-63.5012,-57.0048,42.6,335.6,0.89,2.9,50.1,2.2,-11.3,1.56,193.0,0.75,196.1,0.74,110.1
REC-2141,IB-085,-62.7046,-59.4676,-62.6759,-59.4663,25.2,267.0,1.04,339.5,63.0,3.2,0.9,4.12,513.7,0.62,14.8,0.54,252.9
REC-2142,IB-036,-63.3376,-55.4687,-63.3465,-55.4198,43.0,100.6,0.49,85.4,7.1,4.9,-7.1,0.46,46.7,0.33,268.1,0.83,136.1
REC-2143,IB-062,-61.6109,-57.9879,-61.5735,-58.0147,38.3,47.4,0.93,38.7,43.7,1.8,-7.4,3.18,445.8,0.36,160.5,0.67,67.4
REC-2144,IB-051,-61.3911,-61.4329,-61.3773,-61.3886,19.5,307.7,0.42,276.5,30.1,1.7,-14.8,0.99,145.7,0.16,7.2,0.36,236.1
REC-2145,IB-068,-61.4906,-59.4971,-61.4572,-59.5428,39.5,59.5,0.43,180.2,16.6,3.5,-10.8,1.57,149.5,0.64,22.5,0.75,124.7
REC-2146,IB-056,-61.1025,-54.5176,-61.1026,-54.523,9.4,307.5,0.22,156.2,14.0,3.4,-0.3,1.99,171.5,0.18,139.5,0.2,182.6
REC-2147,IB-043,-64.8899,-55.1946,-64.8864,-55.2376,42.0,176.7,0.58,89.8,59.3,2.1,-12.2,4.1,383.8,0.71,210.0,0.52,143.2
REC-2148,IB-046,-61.6407,-54.1448,-61.6763,-54.1219,30.3,146.4,0.9,197.1,52.1,2.1,-7.9,1.24,170.4,0.23,167.1,0.58,188.7
REC-2149,IB-015,-61.9929,-56.9761,-61.9645,-56.9653,7.2,325.1,1.13,98.8,27.8,2.0,-14.8,0.59,75.1,0.26,222.9,0.59,169.8
