record_id,latitude,longitude,date_index,sea_ice_concentration,temperature,wind_speed,wind_direction,ocean_current_speed,wave_height,ice_drift_speed,ice_edge_distance
ICE-4083,-61.5294,-59.6687,17,37.0,-12.2,41.9,339.5,0.34,2.7,1.04,24.0
ICE-4084,-64.0697,-59.3107,12,9.4,-8.3,27.7,286.2,0.14,5.2,0.64,68.3
ICE-4085,-62.5692,-59.5322,25,7.8,-9.8,19.5,65.3,0.32,1.2,0.58,61.8
ICE-4086,-63.3893,-61.8396,13,54.9,-10.0,35.3,256.3,0.3,3.7,0.89,103.4
ICE-4087,-64.1686,-57.3394,8,73.6,-13.5,15.3,138.6,0.47,2.4,0.59,38.2
ICE-4088,-61.7464,-56.4093,16,53.4,-15.3,32.7,144.8,0.56,5.3,0.99,96.4
ICE-4089,-62.0287,-55.1691,18,80.7,-14.2,6.6,282.0,0.66,2.1,0.53,131.7
ICE-4090,-62.3536,-60.8787,29,8.0,-16.9,38.6,346.6,0.62,5.3,1.14,63.3
ICE-4091,-64.0547,-57.6465,27,38.0,-14.1,22.9,45.6,0.4,5.0,0.7,136.7
ICE-4092,-64.6086,-61.9359,1,26.3,-17.8,30.5,151.4,0.13,1.9,0.69,149.0
ICE-4093,-62.6954,-61.2393,1,45.3,-5.8,13.8,173.1,0.77,4.5,0.74,16.8
ICE-4094,-62.7853,-61.5663,12,11.5,-11.8,32.1,135.5,0.54,5.5,0.97,35.7
ICE-4095,-64.2465,-56.1962,6,90.9,1.0,35.9,130.7,0.43,1.8,0.98,142.6
ICE-4096,-64.775,-61.3515,9,25.1,-14.2,23.9,18.8,1.05,2.7,1.11,143.8
ICE-4097,-64.6772,-56.2684,23,88.0,-11.3,29.7,246.8,0.92,3.1,1.15,15.6
ICE-4098,-61.0289,-60.003,5,43.3,-11.0,23.3,157.0,1.04,2.0,1.09,3.2
ICE-4099,-61.8657,-54.9783,27,93.7,-17.8,40.8,70.1,0.64,0.6,1.2,25.0
ICE-4100,-61.3121,-55.4948,16,54.9,-1.6,24.9,293.8,0.24,1.6,0.64,149.4
ICE-4101,-64.2198,-54.3374,18,88.8,-17.4,38.7,288.9,0.87,1.9,1.3,27.8
ICE-4102,-61.1577,-54.9299,17,5.5,0.3,37.1,175.1,0.33,2.7,0.94,75.9
ICE-4103,-64.4294,-54.5334,18,72.3,-0.6,21.4,107.4,0.59,1.4,0.78,127.4
ICE-4104,-62.9637,-55.1301,1,86.3,-7.6,14.2,229.7,0.17,4.9,0.39,4.0
ICE-4105,-61.6812,-56.4529,19,17.6,-7.4,21.2,103.7,1.01,4.0,1.03,91.1
ICE-4106,-63.6008,-60.6379,22,13.7,-5.3,38.0,85.0,0.24,0.9,0.9,42.3
ICE-4107,-63.3007,-59.8263,29,43.2,-10.5,14.1,263.0,1.09,3.8,0.94,129.5
ICE-4108,-64.4873,-60.2982,8,89.0,-5.4,26.0,14.5,1.05,3.8,1.15,43.2
ICE-4109,-64.5083,-57.1713,3,53.8,-17.1,37.2,34.1,0.61,5.3,1.11,103.3
ICE-4110,-62.5217,-57.971,26,52.5,-16.9,19.1,2.4,0.92,0.5,0.93,101.5
ICE-4111,-62.2979,-55.0634,25,17.7,-9.1,30.7,55.1,0.78,1.7,1.08,34.0
ICE-4112,-61.8907,-54.3786,26,5.1,-7.3,14.8,24.8,0.98,5.1,0.88,6.2
ICE-4113,-62.7733,-58.7611,5,77.9,-0.7,9.4,358.5,0.57,5.2,0.53,62.0
ICE-4114,-62.417,-57.9492,23,12.9,-16.0,36.8,104.0,0.96,4.1,1.31,44.1
ICE-4115,-64.9459,-54.2279,8,62.0,-2.0,9.0,53.7,0.61,4.3,0.55,121.5
ICE-4116,-64.3513,-59.7901,19,87.3,-13.9,15.9,86.8,1.14,1.0,1.0,120.3
ICE-4117,-61.0603,-55.6609,18,23.8,-10.3,39.2,337.0,0.64,3.1,1.17,69.1
ICE-4118,-64.696,-60.1981,18,64.9,-11.8,18.9,187.3,0.61,1.7,0.74,91.4
ICE-4119,-62.2848,-56.5483,21,12.1,-10.2,43.9,131.3,0.96,1.4,1.45,91.0
ICE-4120,-64.2957,-59.9711,1,59.3,-15.1,44.2,314.4,1.0,4.6,1.48,124.2
ICE-4121,-62.1331,-54.9301,15,19.8,-8.2,15.7,142.2,0.71,1.2,0.74,64.3
ICE-4122,-62.176,-57.5082,18,71.2,-2.4,6.6,120.6,0.3,2.8,0.31,42.0
ICE-4123,-64.0632,-60.5125,29,32.1,-9.4,33.2,74.6,0.61,5.2,1.03,40.5
ICE-4124,-63.9215,-60.205,25,46.7,-8.4,23.0,136.0,1.16,1.4,1.16,80.9
ICE-4125,-62.3809,-58.0492,7,58.9,-1.4,9.0,114.0,0.93,5.4,0.74,67.9
ICE-4126,-63.4397,-54.3072,16,20.4,-4.2,33.3,243.8,0.99,5.5,1.26,66.6
ICE-4127,-64.2218,-55.8429,16,71.7,-8.4,6.2,104.2,0.14,3.3,0.21,14.6
ICE-4128,-62.0733,-58.0935,15,32.2,-13.0,39.8,207.8,0.61,1.4,1.16,108.1
ICE-4129,-64.3834,-59.2982,6,64.6,-0.7,10.5,23.7,0.81,2.1,0.7,32.8
ICE-4130,-61.5774,-57.6059,9,19.2,-6.7,10.1,68.9,1.01,2.6,0.81,30.3
ICE-4131,-62.9413,-56.0131,7,66.9,-13.7,12.0,146.7,0.15,2.0,0.33,62.5
ICE-4132,-64.5772,-55.7286,14,16.5,-12.8,43.4,337.3,1.04,1.9,1.49,34.9
ICE-4133,-62.2237,-59.4031,11,43.3,-2.3,32.7,135.8,0.7,5.4,1.07,88.0
ICE-4134,-62.9233,-56.2307,21,27.2,-17.1,37.1,239.1,0.32,1.3,0.93,56.3
ICE-4135,-63.8078,-56.7377,16,72.4,1.3,20.9,91.8,0.45,4.2,0.69,67.9
ICE-4136,-63.3098,-54.3271,25,28.6,-15.5,18.5,45.7,0.41,0.5,0.62,81.0
ICE-4137,-63.8066,-54.5513,6,84.4,-2.5,14.4,21.1,0.68,3.5,0.7,31.3
ICE-4138,-63.9479,-55.685,22,85.3,-10.3,24.2,109.9,0.16,5.1,0.58,24.2
ICE-4139,-64.3456,-56.2128,27,22.7,-8.4,27.1,56.8,0.27,1.9,0.7,132.2
ICE-4140,-63.5489,-59.8077,16,60.2,-0.8,30.3,62.6,0.99,1.4,1.2,65.6
ICE-4141,-63.9961,-55.2323,20,12.9,-9.9,15.3,273.9,0.25,3.8,0.46,62.4
ICE-4142,-62.2663,-58.58,29,40.2,-7.5,42.9,5.7,0.36,4.1,1.07,6.3
ICE-4143,-62.2645,-59.8221,16,69.2,-17.0,11.8,200.8,0.6,3.9,0.6,75.2
ICE-4144,-62.9926,-58.9267,12,64.3,-18.0,43.6,136.6,0.67,2.1,1.27,83.6
ICE-4145,-61.8882,-55.3125,17,61.2,-13.2,5.6,182.4,0.94,1.8,0.68,84.3
ICE-4146,-61.6346,-60.8109,5,30.4,-4.7,24.2,202.6,0.59,5.3,0.84,106.3
ICE-4147,-62.6809,-58.3507,27,39.0,-15.6,18.3,112.8,0.97,5.1,0.95,27.4
ICE-4148,-62.5243,-58.0611,25,14.3,-15.8,23.0,106.2,0.78,2.8,0.93,38.6
ICE-4149,-63.8685,-61.707,13,69.7,-10.0,27.8,264.0,0.22,4.7,0.69,121.8
