observation_id,iceberg_id,sar_backscatter_mean,sar_backscatter_std,texture_contrast,texture_homogeneity,object_area_km2,ice_edge_distance_km,wind_speed_knots,wind_direction_deg,ocean_current_speed_ms,ocean_current_direction_deg,wave_height_m,sea_ice_concentration,temperature_c,confidence_percent,drift_speed_ms,drift_heading_deg,hazard_class
OBS-1013,IB-062,-13.96,4.19,0.419,0.833,1.37,53.5,34.5,79.5,0.24,2.7,5.2,92.3,-5.0,66.0,0.61,27.2,HIGH
OBS-1014,IB-011,-14.98,2.96,0.343,0.102,2.2600000000000002,36.7,14.6,29.7,0.89,233.1,1.6,35.1,-11.9,77.0,0.75,189.4,HIGH
OBS-1015,IB-097,-15.94,1.95,0.838,0.285,3.24,113.9,9.4,245.0,1.1,323.3,5.6,75.4,-8.8,83.0,0.75,322.1,HIGH
OBS-1016,IB-039,-20.66,1.87,0.29,0.735,0.73,92.1,19.2,235.6,0.3,87.7,1.1,63.1,-9.3,63.0,0.4,138.5,MODERATE
OBS-1017,IB-047,-16.68,2.28,0.919,0.686,2.68,18.5,16.5,98.4,0.36,333.7,5.0,42.5,-14.6,94.0,0.32,268.1,HIGH
OBS-1018,IB-011,-16.37,3.56,0.11,0.207,0.28,104.5,16.9,342.3,1.17,21.7,2.6,27.5,-14.6,91.0,0.83,99.9,MODERATE
OBS-1019,IB-073,-18.21,4.27,0.924,0.228,2.91,59.5,14.3,54.4,0.3,336.4,5.3,20.3,-0.9,79.0,0.29,246.4,MODERATE
OBS-1020,IB-069,-15.65,4.04,0.137,0.365,0.30000000000000004,107.6,6.7,155.6,1.04,126.6,5.3,62.3,-10.4,97.0,0.76,127.4,MODERATE
OBS-1021,IB-030,-13.38,2.4,0.857,0.462,0.86,96.4,5.7,339.7,0.64,36.5,4.9,75.8,-6.2,76.0,0.41,121.3,MODERATE
OBS-1022,IB-042,-7.46,5.31,0.549,0.576,2.49,52.2,44.5,151.1,0.37,174.9,4.8,64.7,-9.9,97.0,0.74,166.1,HIGH
OBS-1023,IB-085,-14.3,4.37,0.944,0.364,0.33999999999999997,4.7,22.1,229.9,1.06,92.4,2.2,55.1,1.0,85.0,0.88,128.9,HIGH
OBS-1024,IB-067,-13.97,3.58,0.163,0.443,0.49,33.7,20.4,143.1,0.59,102.6,0.9,13.6,-10.6,84.0,0.57,95.0,MODERATE
OBS-1025,IB-031,-15.3,3.83,0.571,0.685,2.02,65.9,32.2,98.7,0.67,110.6,2.7,92.3,-7.7,66.0,0.84,114.5,HIGH
OBS-1026,IB-098,-22.68,3.0,0.924,0.081,2.01,76.8,13.7,354.2,0.5,289.1,1.5,77.9,-0.2,94.0,0.41,297.9,HIGH
OBS-1027,IB-058,-15.11,2.27,0.545,0.265,1.6400000000000001,32.4,43.0,147.4,0.75,194.1,4.3,34.9,-0.7,76.0,0.94,182.5,HIGH
OBS-1028,IB-068,-14.76,2.73,0.635,0.656,1.8800000000000001,18.4,36.5,321.9,0.28,112.1,2.4,93.3,-11.8,66.0,0.55,195.8,HIGH
OBS-1029,IB-051,-5.15,4.46,0.691,0.811,1.27,100.5,8.6,82.8,0.53,219.7,5.9,61.2,-1.4,60.0,0.33,169.4,MODERATE
OBS-1030,IB-069,-15.77,1.26,0.486,0.485,0.54,118.2,21.7,76.7,1.17,257.8,4.0,59.5,-7.2,81.0,0.87,178.2,MODERATE
OBS-1031,IB-089,-13.79,1.7,0.633,0.502,0.74,64.0,40.2,11.2,0.38,98.1,5.0,73.6,-6.8,80.0,0.69,69.2,HIGH
OBS-1032,IB-024,-15.14,1.4,0.597,0.141,0.4,22.3,42.8,234.6,0.82,148.9,1.2,79.0,-12.7,87.0,0.94,185.6,HIGH
OBS-1033,IB-071,-19.67,1.38,0.866,0.43,3.69,34.1,23.7,132.7,0.46,43.9,5.2,65.8,-13.6,94.0,0.5,90.1,HIGH
OBS-1034,IB-071,-10.43,4.88,0.139,0.503,1.4100000000000001,4.2,29.5,311.2,0.95,65.2,5.6,20.9,-2.6,63.0,0.81,126.7,HIGH
OBS-1035,IB-056,-11.99,4.23,0.339,0.256,0.87,109.9,11.7,170.4,0.24,245.2,3.2,38.8,-6.6,88.0,0.27,227.7,LOW
OBS-1036,IB-071,-11.84,3.24,0.908,0.279,1.03,15.9,44.6,348.5,1.17,65.3,3.8,88.9,-7.6,67.0,1.1,145.6,CRITICAL
OBS-1037,IB-060,-18.64,1.62,0.857,0.371,4.51,70.0,14.3,66.8,0.6,189.1,4.7,29.1,-2.6,93.0,0.54,151.4,HIGH
OBS-1038,IB-064,-9.39,3.31,0.487,0.067,0.35,34.3,42.7,312.7,0.36,255.3,1.5,41.6,-2.0,91.0,0.71,299.0,MODERATE
OBS-1039,IB-073,-20.61,3.24,0.627,0.324,1.4200000000000002,67.4,31.0,279.6,0.18,38.5,3.3,46.7,-12.3,81.0,0.4,95.8,MODERATE
OBS-1040,IB-012,-12.65,1.94,0.336,0.23,1.1600000000000001,78.9,29.3,277.5,0.29,204.2,2.7,47.3,-4.6,87.0,0.5,228.7,MODERATE
OBS-1041,IB-060,-6.24,3.07,0.26,0.328,1.52,99.9,25.5,304.1,0.67,92.4,1.3,62.1,-12.7,72.0,0.64,160.6,MODERATE
OBS-1042,IB-016,-18.96,2.91,0.494,0.152,0.13,26.4,14.2,274.0,0.47,346.7,2.5,90.2,-2.2,78.0,0.44,335.7,HIGH
OBS-1043,IB-030,-17.27,3.85,0.4,0.807,3.19,3.3,12.1,225.4,1.01,174.1,0.9,30.5,-3.8,91.0,0.77,190.5,HIGH
OBS-1044,IB-082,-14.6,3.93,0.596,0.555,4.13,18.2,13.8,47.2,0.57,290.2,0.6,20.3,1.3,77.0,0.39,220.4,HIGH
OBS-1045,IB-048,-17.01,1.39,0.166,0.627,1.35,108.2,12.5,11.7,0.37,198.1,1.2,26.8,-13.8,74.0,0.36,138.3,LOW
OBS-1046,IB-027,-21.2,2.81,0.928,0.721,1.8900000000000001,105.1,36.2,331.5,0.78,15.6,5.8,85.4,-14.0,79.0,0.86,113.1,HIGH
OBS-1047,IB-013,-14.73,3.89,0.938,0.474,3.94,72.5,19.0,222.0,0.88,227.9,3.5,64.9,-10.2,91.0,0.75,222.7,HIGH
OBS-1048,IB-098,-19.25,3.36,0.693,0.124,1.9400000000000002,72.9,7.3,286.8,0.28,342.5,5.8,34.3,-10.6,73.0,0.25,332.0,MODERATE
OBS-1049,IB-069,-13.11,4.88,0.556,0.507,0.35,80.5,43.8,173.3,0.28,216.6,2.9,79.4,-10.8,67.0,0.64,199.9,MODERATE
OBS-1050,IB-023,-18.68,4.03,0.363,0.549,1.3900000000000001,22.7,40.4,42.2,0.14,294.9,2.2,83.2,0.4,87.0,0.55,222.9,HIGH
OBS-1051,IB-018,-8.8,1.9,0.792,0.684,1.5,109.9,42.1,45.1,0.91,318.3,3.3,82.0,-10.8,91.0,0.97,236.0,HIGH
OBS-1052,IB-062,-18.13,1.5,0.682,0.417,0.9299999999999999,51.4,44.8,246.8,0.83,82.1,2.9,88.1,-10.4,64.0,1.05,142.8,HIGH
OBS-1053,IB-011,-16.29,3.96,0.238,0.158,2.1,47.2,12.0,154.9,0.62,76.3,1.1,31.4,-2.1,69.0,0.49,99.4,MODERATE
OBS-1054,IB-093,-11.75,1.31,0.874,0.291,4.1899999999999995,63.2,20.8,72.2,1.03,220.0,4.0,74.2,-7.4,65.0,0.91,157.9,CRITICAL
OBS-1055,IB-069,-19.92,3.72,0.799,0.359,4.0,7.5,35.3,177.0,0.99,148.0,1.7,49.1,-1.8,73.0,0.97,169.3,CRITICAL
OBS-1056,IB-080,-14.09,5.24,0.907,0.599,1.0,21.6,32.8,23.1,0.74,302.4,3.9,81.6,-13.9,77.0,0.77,209.6,HIGH
OBS-1057,IB-053,-9.77,3.67,0.717,0.535,0.28,89.1,11.2,209.5,1.06,324.0,4.1,71.9,-6.7,88.0,0.64,283.1,MODERATE
OBS-1058,IB-017,-21.43,2.87,0.621,0.353,6.38,11.8,37.6,96.8,0.33,127.2,1.3,76.0,-14.4,85.0,0.54,112.1,CRITICAL
OBS-1059,IB-056,-14.26,3.97,0.456,0.889,2.8400000000000003,73.2,14.0,287.1,0.22,85.3,0.8,65.8,-13.9,84.0,0.21,159.6,MODERATE
OBS-1060,IB-044,-13.96,3.17,0.893,0.565,0.30000000000000004,31.0,14.0,111.7,0.4,281.0,4.8,25.1,0.4,73.0,0.4,208.9,MODERATE
OBS-1061,IB-087,-11.87,3.55,0.836,0.252,3.9,47.9,26.5,163.9,0.16,98.9,3.0,56.3,-12.6,92.0,0.43,149.8,HIGH
OBS-1062,IB-090,-19.95,5.25,0.138,0.137,3.16,36.1,28.7,4.2,0.68,296.1,0.8,93.7,-5.9,78.0,0.64,219.1,CRITICAL
OBS-1063,IB-045,-20.28,2.86,0.122,0.18,1.2000000000000002,44.0,28.2,26.1,1.13,152.5,6.0,89.7,-8.0,97.0,1.0,116.8,HIGH
OBS-1064,IB-059,-12.91,5.33,0.42,0.259,1.4400000000000002,86.8,8.7,141.3,0.14,240.3,0.8,13.7,-9.1,84.0,0.16,210.1,LOW
OBS-1065,IB-013,-13.81,5.09,0.789,0.187,0.86,37.1,40.1,172.8,0.23,34.4,4.3,24.0,0.3,65.0,0.62,78.8,MODERATE
OBS-1066,IB-011,-14.0,2.04,0.939,0.209,0.18,68.8,15.6,216.0,0.6,224.6,5.9,21.2,-14.6,86.0,0.6,227.2,MODERATE
OBS-1067,IB-015,-13.61,1.5,0.228,0.292,0.71,58.2,10.2,105.0,1.13,162.6,1.8,71.7,-3.7,72.0,0.79,151.8,HIGH
OBS-1068,IB-063,-17.72,1.63,0.605,0.197,2.54,80.3,40.5,250.2,0.45,211.2,1.3,79.5,1.4,86.0,0.72,228.5,HIGH
OBS-1069,IB-013,-14.07,1.28,0.424,0.812,0.11,112.5,43.2,309.6,0.66,60.5,1.2,28.1,-5.5,63.0,0.84,136.1,MODERATE
OBS-1070,IB-063,-13.83,1.61,0.924,0.118,0.71,88.4,39.5,280.7,0.15,265.3,2.2,53.0,0.9,67.0,0.45,267.9,MODERATE
OBS-1071,IB-072,-17.86,4.14,0.816,0.496,0.86,27.4,37.4,14.3,0.26,310.6,1.1,81.5,-14.1,93.0,0.56,220.2,HIGH
OBS-1072,IB-027,-7.54,1.51,0.813,0.399,1.26,5.7,31.2,173.0,1.19,78.0,4.3,72.3,-7.9,69.0,1.02,104.6,CRITICAL
OBS-1073,IB-053,-13.1,2.57,0.498,0.885,3.89,32.9,27.0,37.8,1.16,34.5,0.8,56.1,-10.6,92.0,0.91,46.8,CRITICAL
OBS-1074,IB-043,-19.77,4.83,0.453,0.145,0.74,72.2,8.5,87.1,0.11,8.5,3.3,60.2,-2.6,71.0,0.16,38.0,MODERATE
OBS-1075,IB-083,-12.37,1.3,0.332,0.388,0.74,8.1,21.3,355.2,1.15,231.1,6.0,53.2,1.7,84.0,0.89,238.9,HIGH
OBS-1076,IB-071,-18.9,4.7,0.148,0.874,2.11,60.6,19.9,51.3,0.8,218.6,5.0,35.3,-10.6,86.0,0.67,175.0,HIGH
OBS-1077,IB-023,-11.85,2.41,0.835,0.786,1.0,72.4,15.4,179.6,1.05,196.8,3.9,58.0,-3.9,79.0,0.73,193.6,MODERATE
OBS-1078,IB-057,-10.37,1.71,0.791,0.745,0.48,41.4,33.9,222.5,0.6,83.5,2.2,68.6,-11.6,72.0,0.75,125.0,HIGH
OBS-1079,IB-024,-18.28,4.2,0.95,0.269,1.0,93.0,24.8,252.9,0.67,140.7,3.9,84.2,-5.4,68.0,0.69,170.5,MODERATE
OBS-1080,IB-081,-11.15,3.9,0.947,0.195,0.33,14.6,8.2,201.5,0.64,214.0,3.4,64.1,-7.1,61.0,0.4,221.5,MODERATE
OBS-1081,IB-087,-13.35,4.97,0.572,0.618,0.39,10.9,13.8,3.5,0.83,178.8,2.8,74.7,1.5,72.0,0.69,135.7,HIGH
OBS-1082,IB-096,-11.71,4.36,0.754,0.84,1.1300000000000001,87.9,32.3,117.5,0.25,355.6,1.2,23.6,-4.7,85.0,0.52,276.4,MODERATE
OBS-1083,IB-071,-7.41,4.65,0.903,0.523,0.91,60.5,8.0,186.4,0.13,49.1,5.4,49.2,-9.1,96.0,0.17,94.4,MODERATE
OBS-1084,IB-049,-15.98,2.41,0.822,0.536,3.79,83.2,39.0,31.6,0.44,250.3,3.0,10.8,-13.1,93.0,0.75,175.0,HIGH
OBS-1085,IB-094,-18.01,1.96,0.31,0.288,0.78,53.3,24.8,126.2,0.88,145.6,1.6,31.0,-12.4,89.0,0.79,126.0,MODERATE
OBS-1086,IB-089,-18.56,4.43,0.483,0.704,1.4000000000000001,31.1,24.2,12.0,0.32,154.2,2.5,71.7,-11.2,90.0,0.51,105.3,HIGH
OBS-1087,IB-091,-18.26,4.67,0.21,0.209,1.6,98.7,28.7,28.3,0.84,258.3,2.8,94.3,-10.7,85.0,0.82,197.9,HIGH
OBS-1088,IB-062,-15.31,5.46,0.911,0.325,0.12000000000000001,96.3,38.0,142.9,1.17,249.3,5.1,18.4,-0.5,70.0,1.07,226.9,MODERATE
OBS-1089,IB-033,-13.64,2.97,0.615,0.412,1.73,84.0,18.9,47.8,0.2,356.9,4.5,44.1,-5.5,94.0,0.35,269.3,MODERATE
OBS-1090,IB-035,-13.89,2.8,0.294,0.481,0.39,34.1,32.1,204.3,0.84,46.2,4.7,78.0,-6.1,85.0,0.79,100.9,HIGH
OBS-1091,IB-098,-11.69,4.54,0.671,0.256,4.97,71.6,27.6,248.2,0.59,37.5,0.6,27.3,-13.0,81.0,0.66,105.9,HIGH
OBS-1092,IB-069,-14.95,2.67,0.625,0.148,0.33999999999999997,44.6,15.7,288.2,1.05,260.8,2.8,57.2,-0.4,64.0,0.76,262.6,HIGH
OBS-1093,IB-050,-9.19,5.2,0.404,0.569,0.9,12.8,40.1,72.1,0.29,208.2,3.1,72.3,-2.7,77.0,0.63,171.7,HIGH
OBS-1094,IB-038,-16.06,4.89,0.197,0.295,0.23,110.2,36.9,60.3,0.86,98.7,0.6,62.4,-13.8,77.0,0.91,95.2,MODERATE
OBS-1095,IB-024,-4.12,3.04,0.671,0.544,8.75,18.1,31.3,37.6,1.02,28.6,1.9,26.0,-3.0,93.0,0.84,38.8,CRITICAL
OBS-1096,IB-054,-12.5,4.43,0.542,0.181,1.1500000000000001,114.1,39.0,229.1,1.14,30.8,4.7,40.2,-5.8,81.0,1.07,102.2,MODERATE
OBS-1097,IB-074,-18.43,4.44,0.756,0.459,1.4600000000000002,54.6,39.7,254.3,0.85,321.9,1.3,76.6,-13.6,74.0,0.95,308.7,HIGH
OBS-1098,IB-098,-19.28,1.64,0.542,0.503,0.2,23.8,33.3,11.4,0.65,69.1,3.4,57.1,-7.2,97.0,0.77,55.3,HIGH
OBS-1099,IB-080,-13.07,5.08,0.824,0.094,2.18,65.9,38.5,337.0,0.78,116.4,1.7,10.4,-6.8,64.0,0.84,193.3,HIGH
OBS-1100,IB-018,-15.89,3.37,0.569,0.336,0.44999999999999996,105.0,32.9,18.7,1.06,81.6,0.6,74.7,-12.2,76.0,1.04,62.5,HIGH
OBS-1101,IB-097,-12.14,4.75,0.577,0.164,3.52,88.4,32.2,194.9,0.73,127.8,1.8,13.0,1.1,62.0,0.74,139.1,HIGH
OBS-1102,IB-010,-13.11,2.58,0.845,0.104,0.44000000000000006,97.2,29.7,255.3,0.13,25.0,5.9,73.4,-0.6,88.0,0.48,92.5,MODERATE
OBS-1103,IB-017,-15.29,5.05,0.443,0.891,0.42000000000000004,79.7,35.1,313.5,1.12,186.9,4.9,27.2,-3.6,95.0,1.06,217.4,MODERATE
OBS-1104,IB-097,-18.39,2.87,0.214,0.324,0.16,83.7,11.3,257.1,0.86,24.3,5.8,91.4,-7.1,71.0,0.58,87.4,MODERATE
OBS-1105,IB-072,-21.06,1.25,0.124,0.738,1.06,102.2,40.2,288.6,0.84,288.1,3.2,41.3,-8.0,93.0,1.03,286.8,MODERATE
OBS-1106,IB-020,-16.79,5.09,0.742,0.266,1.35,31.5,39.9,122.2,0.34,84.1,1.1,37.8,-3.9,71.0,0.61,87.6,HIGH
OBS-1107,IB-090,-11.57,1.59,0.627,0.629,0.2,59.8,6.2,293.3,0.82,194.4,3.5,22.7,-5.7,95.0,0.57,221.0,MODERATE
OBS-1108,IB-017,-14.14,2.57,0.698,0.696,2.3400000000000003,28.1,38.0,28.8,0.53,316.8,3.0,36.0,-13.9,89.0,0.8,211.5,HIGH
OBS-1109,IB-044,-19.98,5.29,0.281,0.556,1.01,118.5,10.2,322.1,0.82,234.3,5.1,84.5,-6.3,91.0,0.54,262.8,MODERATE
OBS-1110,IB-044,-14.31,5.29,0.216,0.451,1.2100000000000002,113.4,18.4,197.1,0.22,191.9,1.0,94.7,-1.3,61.0,0.41,193.5,MODERATE
OBS-1111,IB-042,-13.46,3.67,0.112,0.4,0.97,6.7,34.7,294.2,0.82,116.8,3.2,41.3,-7.2,97.0,0.85,161.8,HIGH
OBS-1112,IB-014,-18.54,3.92,0.398,0.347,0.87,85.3,11.4,162.8,1.2,119.9,1.3,48.1,-14.1,88.0,0.81,139.4,MODERATE
OBS-1113,IB-050,-14.39,3.13,0.601,0.84,1.33,111.2,37.7,231.7,0.15,241.0,2.3,71.4,-1.6,72.0,0.55,247.6,MODERATE
OBS-1114,IB-037,-14.77,2.46,0.433,0.756,0.35,23.3,38.3,189.5,1.17,357.9,4.6,85.3,-11.6,92.0,1.1,291.3,HIGH
OBS-1115,IB-016,-19.57,2.61,0.472,0.87,0.4,69.0,25.3,263.4,0.55,238.3,3.1,60.4,-10.6,71.0,0.65,238.2,MODERATE
OBS-1116,IB-082,-13.57,4.09,0.869,0.156,3.0700000000000003,110.0,5.3,29.4,1.06,200.8,2.6,43.3,-12.2,93.0,0.69,141.7,HIGH
OBS-1117,IB-081,-12.76,4.44,0.396,0.671,4.4799999999999995,6.0,16.5,21.7,0.96,263.0,2.7,45.1,-9.4,64.0,0.64,181.2,CRITICAL
OBS-1118,IB-021,-10.67,4.6,0.537,0.848,0.7999999999999999,84.3,29.7,89.0,0.72,167.5,3.0,69.1,-2.1,87.0,0.82,152.2,HIGH
OBS-1119,IB-043,-10.78,4.6,0.766,0.204,0.57,37.1,44.2,57.4,0.91,21.7,4.8,10.3,-6.2,81.0,0.95,30.5,MODERATE
OBS-1120,IB-042,-20.51,1.59,0.437,0.107,1.6500000000000001,111.1,30.3,313.8,1.07,202.4,5.4,62.7,-11.5,64.0,1.0,233.2,HIGH
OBS-1121,IB-057,-18.75,3.33,0.629,0.68,0.89,116.6,15.4,78.9,0.54,344.7,5.8,40.2,-0.1,69.0,0.54,244.9,MODERATE
OBS-1122,IB-032,-12.94,1.45,0.833,0.538,0.14,113.4,30.4,351.3,0.46,63.1,4.8,77.5,-0.0,60.0,0.56,155.9,MODERATE
OBS-1123,IB-071,-12.94,3.56,0.907,0.766,0.35,58.0,26.6,121.3,0.83,248.4,2.2,17.9,-0.2,78.0,0.76,197.9,MODERATE
OBS-1124,IB-097,-12.94,3.1,0.225,0.169,1.99,103.7,36.2,65.6,0.99,72.3,4.3,60.0,-10.9,71.0,0.92,70.9,HIGH
OBS-1125,IB-046,0.41,5.02,0.888,0.726,1.7100000000000002,101.7,9.3,284.3,0.94,192.9,2.9,50.9,-7.3,83.0,0.62,223.1,MODERATE
OBS-1126,IB-053,-12.72,2.71,0.518,0.221,0.14,39.7,35.4,237.1,0.98,34.8,1.9,64.6,1.7,71.0,0.95,109.1,HIGH
OBS-1127,IB-095,-10.46,1.7,0.32,0.189,0.48,99.8,26.7,179.4,0.58,162.1,5.1,15.5,-1.9,71.0,0.68,154.2,MODERATE
OBS-1128,IB-044,-11.18,1.81,0.49,0.19,0.49,6.4,43.5,199.9,1.0,272.2,0.7,59.3,-14.5,88.0,1.14,220.3,HIGH
OBS-1129,IB-074,-12.39,4.47,0.933,0.742,1.77,72.4,18.7,258.9,0.23,125.1,5.5,57.7,-13.9,62.0,0.42,167.1,MODERATE
OBS-1130,IB-056,-16.26,3.86,0.519,0.615,0.13,29.1,30.3,82.2,0.7,239.4,3.0,57.7,-7.1,94.0,0.72,210.2,HIGH
OBS-1131,IB-087,-11.96,1.63,0.379,0.495,0.26,16.2,42.3,358.7,0.11,286.4,4.0,61.3,0.5,92.0,0.56,320.5,HIGH
OBS-1132,IB-012,-18.09,1.56,0.638,0.355,2.5100000000000002,11.1,9.1,350.9,0.46,333.8,4.1,67.5,-5.8,85.0,0.28,341.0,HIGH
OBS-1133,IB-010,-15.95,4.21,0.304,0.796,0.4,84.2,42.5,234.1,0.5,84.5,5.4,78.4,-6.5,83.0,0.74,124.5,MODERATE
OBS-1134,IB-014,-16.94,1.51,0.164,0.384,1.6900000000000002,42.1,32.5,71.8,0.54,143.8,4.0,32.9,-13.2,94.0,0.74,130.3,HIGH
OBS-1135,IB-023,-14.67,4.73,0.21,0.744,0.51,87.5,7.7,244.9,0.87,54.9,3.9,80.1,-3.8,67.0,0.65,102.2,MODERATE
OBS-1136,IB-036,-5.74,4.24,0.209,0.423,0.26,9.7,17.0,26.0,0.53,357.3,0.9,52.4,-1.0,63.0,0.43,262.7,MODERATE
OBS-1137,IB-018,-22.47,1.55,0.229,0.37,0.52,39.2,33.3,11.0,0.59,333.7,3.4,16.5,-8.5,69.0,0.69,241.9,MODERATE
OBS-1138,IB-088,-12.25,1.56,0.218,0.443,2.02,65.7,7.7,92.8,0.36,194.4,1.3,15.0,-1.8,90.0,0.29,174.5,MODERATE
OBS-1139,IB-024,-21.45,5.44,0.645,0.306,3.0,95.3,28.3,166.5,0.51,303.1,4.6,38.4,1.4,61.0,0.63,289.7,HIGH
OBS-1140,IB-051,-16.89,2.81,0.255,0.685,2.7600000000000002,39.6,18.8,312.6,0.35,187.5,3.3,76.7,-11.5,82.0,0.38,229.0,HIGH
OBS-1141,IB-086,-10.64,2.79,0.394,0.477,0.86,75.9,29.8,261.8,0.18,224.5,4.2,70.2,-6.1,98.0,0.48,230.6,MODERATE
OBS-1142,IB-060,-14.74,4.7,0.862,0.247,1.75,106.5,6.8,267.4,0.76,32.1,0.7,77.0,-10.1,93.0,0.48,102.4,MODERATE
OBS-1143,IB-072,-19.31,5.27,0.503,0.815,0.44000000000000006,74.7,39.9,153.2,0.84,271.9,1.0,54.0,-1.5,80.0,0.94,218.6,MODERATE
OBS-1144,IB-061,-17.86,5.44,0.667,0.376,0.62,29.5,43.9,124.5,0.78,46.0,4.4,47.4,-5.2,62.0,0.98,62.6,HIGH
OBS-1145,IB-013,-12.28,4.44,0.246,0.512,3.5,4.9,43.8,133.6,0.61,297.4,0.9,22.5,-4.2,92.0,0.86,244.2,CRITICAL
OBS-1146,IB-032,-17.92,2.82,0.263,0.821,0.12000000000000001,104.7,35.0,355.6,0.52,281.5,0.9,37.9,-1.4,83.0,0.68,298.5,MODERATE
OBS-1147,IB-024,-14.13,1.56,0.135,0.581,0.23,4.5,10.2,14.4,1.05,255.1,0.6,46.9,-8.3,64.0,0.69,184.4,HIGH
OBS-1148,IB-052,-14.82,4.54,0.244,0.149,0.44999999999999996,105.2,35.3,312.1,0.67,13.0,5.8,17.5,0.6,64.0,0.79,94.5,MODERATE
OBS-1149,IB-038,-17.61,3.6,0.337,0.849,0.14,64.4,6.0,208.3,0.63,109.1,4.6,28.8,-5.9,95.0,0.4,150.1,MODERATE
